Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Return
XLB,2022/4/1,88.660004,89.410004,88.139999,89.080002,87.025383,6242000,0.011
XLB,2022/4/4,89.230003,89.230003,88.309998,89.099998,87.044922,5759000,0
XLB,2022/4/5,89.050003,89.660004,88.129997,88.389999,86.351288,5728700,-0.008
XLB,2022/4/6,87.82,87.849998,86.610001,87.370003,85.35482,8397800,-0.012
XLB,2022/4/7,87.480003,88.300003,86.870003,87.940002,85.911674,5764600,0.007
XLB,2022/4/8,88.449997,89.059998,87.989998,88.480003,86.439217,5155500,0.006
XLB,2022/4/11,88.190002,88.980003,87.93,88.040001,86.009361,6133100,-0.005
XLB,2022/4/12,88.470001,89.209999,87.699997,88.059998,86.028908,7147800,0
XLB,2022/4/13,88.230003,89.400002,87.879997,89.360001,87.298912,8530800,0.015
XLB,2022/4/14,89.459999,90.120003,89.010002,89.059998,87.005844,6332000,-0.003
XLB,2022/4/18,89,89.669998,88.839996,89.139999,87.084,6221500,0.001
XLB,2022/4/19,88.889999,90.169998,88.669998,89.980003,87.904625,5060600,0.009
XLB,2022/4/20,90.120003,90.900002,89.949997,90.550003,88.461479,8644700,0.006
XLB,2022/4/21,91.230003,91.489998,88.82,89.07,87.015617,7664300,-0.016
XLB,2022/4/22,88.330002,88.349998,85.580002,85.739998,83.762413,9412100,-0.037
XLB,2022/4/25,84.830002,85.720001,83.139999,85.5,83.527946,13343900,-0.003
XLB,2022/4/26,85.879997,86.360001,84.139999,84.18,82.238388,10540700,-0.015
XLB,2022/4/27,84.940002,86.389999,84.669998,85.419998,83.449791,13024600,0.015
XLB,2022/4/28,85.839996,87.07,84.389999,86.769997,84.768654,10351500,0.016
XLB,2022/4/29,87.050003,87.769997,84.82,85.029999,83.068787,10632800,-0.02
XLB,2022/5/2,85.139999,85.5,83.129997,84.769997,82.814789,16419100,-0.003
XLB,2022/5/3,84.830002,86.199997,84.660004,85.720001,83.742874,11422500,0.011
XLB,2022/5/4,86.279999,88.559998,85.489998,88.5,86.458755,14905600,0.032
XLB,2022/5/5,87.879997,88.169998,84.830002,85.760002,83.78196,12271800,-0.031
XLB,2022/5/6,85.080002,85.080002,83.129997,84.529999,82.580322,14357700,-0.014
XLB,2022/5/9,82.989998,83.739998,81.629997,81.860001,79.971909,13940700,-0.032
XLB,2022/5/10,83.220001,83.440002,80.379997,81.349998,79.473671,17015100,-0.006
XLB,2022/5/11,81.580002,83.57,81.209999,81.389999,79.512749,16918300,0
XLB,2022/5/12,80.540001,82.050003,79.760002,81.239998,79.366203,13229100,-0.002
XLB,2022/5/13,81.889999,83.309998,81.889999,82.489998,80.587372,8647600,0.015
XLB,2022/5/16,82.139999,83,81.389999,82.339996,80.440834,8346300,-0.002
XLB,2022/5/17,84.190002,84.800003,83.339996,84.669998,82.717094,7568700,0.028
XLB,2022/5/18,83.860001,84.050003,81.690002,82.040001,80.147758,6966200,-0.031
XLB,2022/5/19,81.5,83.589996,81.400002,82.620003,80.714378,8097500,0.007
XLB,2022/5/20,83.43,83.75,80.620003,82.419998,80.51899,8057200,-0.002
XLB,2022/5/23,83.470001,84.129997,82.900002,83.93,81.994164,6380100,0.018
XLB,2022/5/24,83.650002,83.739998,82.019997,83.449997,81.52523,7029800,-0.006
XLB,2022/5/25,83.129997,84.18,82.839996,83.82,81.886696,5535700,0.004
XLB,2022/5/26,84.400002,85.790001,84.239998,85.360001,83.391174,5536500,0.018
XLB,2022/5/27,86.080002,87.389999,85.940002,87.360001,85.345047,6794400,0.023
XLB,2022/5/31,86.540001,86.860001,85.739998,86.029999,84.045731,9245400,-0.015
XLB,2022/6/1,86.169998,86.440002,84.339996,85.169998,83.205551,7175000,-0.01
XLB,2022/6/2,86.080002,87.519997,85.889999,87.519997,85.501358,6525400,0.028
XLB,2022/6/3,86.739998,87.360001,86.360001,86.669998,84.670967,5325600,-0.01
XLB,2022/6/6,87.309998,87.839996,87.019997,87.489998,85.472054,5592000,0.009
XLB,2022/6/7,86.75,88.230003,86.519997,88.120003,86.087524,6205700,0.007
XLB,2022/6/8,87.209999,87.949997,86.099998,86.290001,84.299728,4237800,-0.021
XLB,2022/6/9,85.629997,85.919998,84.220001,84.25,82.306778,5406300,-0.024
XLB,2022/6/10,82.620003,82.760002,81.559998,81.669998,79.786285,8334200,-0.031
XLB,2022/6/13,79.580002,79.760002,78.019997,78.480003,76.669876,10410200,-0.039
XLB,2022/6/14,78.459999,78.93,77.269997,77.879997,76.083702,7850400,-0.008
XLB,2022/6/15,78.870003,78.970001,76.440002,77.860001,76.064171,10429700,0
XLB,2022/6/16,75.730003,75.980003,74.410004,75.050003,73.318985,9284700,-0.036
XLB,2022/6/17,74.940002,75.459999,73.620003,74.919998,73.191978,12509800,-0.002
XLB,2022/6/21,75.57,75.879997,74.949997,75.529999,74.298637,5616600,0.015
XLB,2022/6/22,73.900002,75.290001,73.690002,74.559998,73.344444,8032400,-0.013
XLB,2022/6/23,74.260002,74.68,72.769997,73.540001,72.34108,9467400,-0.014
XLB,2022/6/24,74.040001,76.480003,73.959999,76.459999,75.213478,11247500,0.04
XLB,2022/6/27,76.400002,76.660004,75.599998,75.830002,74.59375,6791900,-0.008
XLB,2022/6/28,76.279999,76.989998,74.900002,75.019997,73.796944,4923200,-0.011
XLB,2022/6/29,75.160004,75.290001,73.709999,74.480003,73.265762,5297400,-0.007
XLB,2022/6/30,73.32,74.279999,72.580002,73.599998,72.400101,6930000,-0.012
XLB,2022/7/1,72.989998,74.230003,72.190002,74.120003,72.911629,8217100,0.007
XLB,2022/7/5,72.169998,72.639999,71.110001,72.629997,71.445915,9706500,-0.02
