Ticker,Date,Return,Event
XLF,2022-06-09,-0.0251,Event 6
XLI,2022-06-09,-0.0197,Event 6
XLK,2022-06-09,-0.027,Event 6
XLP,2022-06-09,-0.015000679,Event 6
XLRE,2022-06-09,-0.0229,Event 6
XLU,2022-06-09,-0.024,Event 6
XLV,2022-06-09,-0.0226,Event 6
XLY,2022-06-09,-0.0181,Event 6
XLC,2022-06-09,-0.0307,Event 6
XLB,2022-06-10,-0.031,Event 6
XLE,2022-06-10,-0.017,Event 6
XLF,2022-06-10,-0.0361,Event 6
XLI,2022-06-10,-0.0295,Event 6
XLK,2022-06-10,-0.038,Event 6
XLP,2022-06-10,-0.004291928,Event 6
XLRE,2022-06-10,-0.0237,Event 6
XLU,2022-06-10,-0.0077,Event 6
XLV,2022-06-10,-0.0161,Event 6
XLY,2022-06-10,-0.0399,Event 6
XLC,2022-06-10,-0.0279,Event 6
XLB,2022-06-13,-0.039,Event 6
XLE,2022-06-13,-0.052,Event 6
XLF,2022-06-13,-0.0298,Event 6
XLI,2022-06-13,-0.0301,Event 6
XLK,2022-06-13,-0.044,Event 6
XLP,2022-06-13,-0.021551624,Event 6
XLRE,2022-06-13,-0.0481,Event 6
XLU,2022-06-13,-0.046,Event 6
XLV,2022-06-13,-0.0303,Event 6
XLY,2022-06-13,-0.0462,Event 6
XLC,2022-06-13,-0.0473,Event 6
XLB,2022-06-14,-0.008,Event 6
XLE,2022-06-14,0.002,Event 6
XLF,2022-06-14,-0.0086,Event 6
XLI,2022-06-14,-0.0025,Event 6
XLK,2022-06-14,0.006,Event 6
XLP,2022-06-14,-0.011794944,Event 6
XLRE,2022-06-14,-0.0071,Event 6
XLU,2022-06-14,-0.0253,Event 6
XLV,2022-06-14,-0.0095,Event 6
XLY,2022-06-14,-0.0008,Event 6
XLC,2022-06-14,-0.0028,Event 6
XLB,2022-06-15,0.0,Event 6
XLE,2022-06-15,-0.022,Event 6
XLF,2022-06-15,0.0112,Event 6
XLI,2022-06-15,0.0097,Event 6
XLK,2022-06-15,0.021,Event 6
XLP,2022-06-15,0.001006676,Event 6
XLRE,2022-06-15,0.0229,Event 6
XLU,2022-06-15,0.0065,Event 6
XLV,2022-06-15,0.0101,Event 6
XLY,2022-06-15,0.0281,Event 6
XLC,2022-06-15,0.0225,Event 6
XLB,2022-06-16,-0.036,Event 6
XLE,2022-06-16,-0.056,Event 6
XLF,2022-06-16,-0.0253,Event 6
XLI,2022-06-16,-0.0334,Event 6
XLK,2022-06-16,-0.041,Event 6
XLP,2022-06-16,-0.007613892,Event 6
XLRE,2022-06-16,-0.0239,Event 6
XLU,2022-06-16,-0.0193,Event 6
XLV,2022-06-16,-0.0147,Event 6
XLY,2022-06-16,-0.049,Event 6
XLC,2022-06-16,-0.0365,Event 6
XLB,2022-06-17,-0.002,Event 6
XLE,2022-06-17,-0.055,Event 6
XLF,2022-06-17,0.0029,Event 6
XLI,2022-06-17,-0.0026,Event 6
XLK,2022-06-17,0.009,Event 6
XLP,2022-06-17,-0.003618879,Event 6
XLRE,2022-06-17,0.0059,Event 6
XLU,2022-06-17,-0.0093,Event 6
XLV,2022-06-17,-0.0006,Event 6
XLY,2022-06-17,0.0109,Event 6
XLC,2022-06-17,0.0143,Event 6
XLB,2022-06-21,0.015,Event 6
XLE,2022-06-21,0.052,Event 6
XLF,2022-06-21,0.02,Event 6
XLI,2022-06-21,0.0182,Event 6
XLK,2022-06-21,0.025,Event 6
XLP,2022-06-21,0.026684314,Event 6
XLRE,2022-06-21,0.0186,Event 6
XLU,2022-06-21,0.019,Event 6
XLV,2022-06-21,0.0269,Event 6
XLY,2022-06-21,0.0286,Event 6
XLC,2022-06-21,0.0071,Event 6
XLB,2022-06-22,-0.013,Event 6
XLE,2022-06-22,-0.04,Event 6
XLF,2022-06-22,-0.0022,Event 6
XLI,2022-06-22,-0.0055,Event 6
XLK,2022-06-22,-0.004,Event 6
XLP,2022-06-22,-0.000712857,Event 6
XLRE,2022-06-22,0.0162,Event 6
XLU,2022-06-22,0.0105,Event 6
XLV,2022-06-22,0.0139,Event 6
XLY,2022-06-22,-0.0019,Event 6
XLC,2022-06-22,0.0017,Event 6
XLB,2022-06-23,-0.014,Event 6
XLE,2022-06-23,-0.037,Event 6
XLF,2022-06-23,-0.0038,Event 6
XLI,2022-06-23,-0.0051,Event 6
XLK,2022-06-23,0.015,Event 6
XLP,2022-06-23,0.019403563,Event 6
XLRE,2022-06-23,0.0197,Event 6
XLU,2022-06-23,0.0235,Event 6
XLV,2022-06-23,0.0224,Event 6
XLY,2022-06-23,0.0157,Event 6
XLC,2022-06-23,0.0124,Event 6
XLB,2022-06-24,0.04,Event 6
XLE,2022-06-24,0.013,Event 6
XLF,2022-06-24,0.0369,Event 6
XLI,2022-06-24,0.035,Event 6
XLK,2022-06-24,0.036,Event 6
XLP,2022-06-24,0.019594153,Event 6
XLRE,2022-06-24,0.0217,Event 6
XLU,2022-06-24,0.0174,Event 6
XLV,2022-06-24,0.0166,Event 6
XLY,2022-06-24,0.0381,Event 6
XLC,2022-06-24,0.0381,Event 6
XLB,2022-06-27,-0.008,Event 6
XLE,2022-06-27,0.029,Event 6
XLF,2022-06-27,-0.0034,Event 6
XLI,2022-06-27,-0.0024,Event 6
XLK,2022-06-27,-0.007,Event 6
XLP,2022-06-27,-0.002745288,Event 6
XLRE,2022-06-27,-0.0036,Event 6
XLU,2022-06-27,0.0081,Event 6
XLV,2022-06-27,0.0037,Event 6
